,height,width,xmin,ymin,xmax,ymax,label
1.png,219.0,81.0,246.0,77.0,327.0,296.0,1.0
1.png,219.0,96.0,323.0,81.0,419.0,300.0,9.0
2.png,32.0,23.0,77.0,29.0,100.0,61.0,2.0
2.png,32.0,26.0,98.0,25.0,124.0,57.0,3.0
3.png,15.0,8.0,17.0,5.0,25.0,20.0,2.0
3.png,15.0,9.0,25.0,5.0,34.0,20.0,5.0
4.png,34.0,15.0,57.0,13.0,72.0,47.0,9.0
4.png,34.0,13.0,72.0,13.0,85.0,47.0,3.0
5.png,46.0,21.0,52.0,7.0,73.0,53.0,3.0
5.png,46.0,15.0,74.0,10.0,89.0,56.0,1.0
6.png,21.0,10.0,28.0,6.0,38.0,27.0,3.0
6.png,21.0,11.0,38.0,8.0,49.0,29.0,3.0
7.png,32.0,13.0,35.0,10.0,48.0,42.0,2.0
7.png,32.0,13.0,47.0,11.0,60.0,43.0,8.0
8.png,15.0,7.0,17.0,4.0,24.0,19.0,7.0
8.png,15.0,6.0,25.0,4.0,31.0,19.0,4.0
8.png,15.0,7.0,31.0,3.0,38.0,18.0,4.0
9.png,24.0,14.0,19.0,4.0,33.0,28.0,1.0
9.png,24.0,13.0,29.0,4.0,42.0,28.0,2.0
9.png,24.0,17.0,38.0,5.0,55.0,29.0,8.0
10.png,27.0,9.0,25.0,6.0,34.0,33.0,1.0
10.png,27.0,14.0,34.0,4.0,48.0,31.0,6.0
11.png,26.0,12.0,22.0,5.0,34.0,31.0,2.0
11.png,26.0,9.0,33.0,4.0,42.0,30.0,3.0
12.png,55.0,23.0,67.0,16.0,90.0,71.0,6.0
12.png,55.0,20.0,90.0,17.0,110.0,72.0,3.0
13.png,33.0,17.0,44.0,12.0,61.0,45.0,4.0
13.png,33.0,18.0,63.0,13.0,81.0,46.0,2.0
14.png,42.0,21.0,35.0,2.0,56.0,44.0,5.0
14.png,42.0,23.0,55.0,2.0,78.0,44.0,8.0
15.png,20.0,14.0,22.0,8.0,36.0,28.0,1.0
15.png,20.0,10.0,33.0,7.0,43.0,27.0,6.0
16.png,19.0,7.0,20.0,3.0,27.0,22.0,2.0
16.png,19.0,7.0,26.0,1.0,33.0,20.0,3.0
17.png,22.0,14.0,23.0,4.0,37.0,26.0,7.0
17.png,22.0,12.0,35.0,4.0,47.0,26.0,9.0
18.png,41.0,28.0,52.0,12.0,80.0,53.0,5.0
18.png,41.0,21.0,80.0,17.0,101.0,58.0,3.0
19.png,19.0,7.0,19.0,1.0,26.0,20.0,2.0
19.png,19.0,7.0,28.0,1.0,35.0,20.0,2.0
19.png,19.0,7.0,36.0,1.0,43.0,20.0,2.0
20.png,24.0,11.0,20.0,2.0,31.0,26.0,6.0
20.png,24.0,11.0,32.0,1.0,43.0,25.0,2.0
21.png,85.0,52.0,72.0,6.0,124.0,91.0,2.0
22.png,16.0,10.0,24.0,4.0,34.0,20.0,5.0
22.png,16.0,7.0,34.0,5.0,41.0,21.0,1.0
22.png,16.0,11.0,40.0,5.0,51.0,21.0,5.0
23.png,32.0,21.0,29.0,5.0,50.0,37.0,4.0
23.png,32.0,22.0,52.0,5.0,74.0,37.0,7.0
24.png,34.0,19.0,233.0,59.0,252.0,93.0,8.0
24.png,34.0,21.0,248.0,56.0,269.0,90.0,9.0
25.png,50.0,24.0,60.0,11.0,84.0,61.0,6.0
25.png,50.0,24.0,87.0,9.0,111.0,59.0,10.0
25.png,50.0,21.0,113.0,7.0,134.0,57.0,1.0
26.png,32.0,12.0,34.0,7.0,46.0,39.0,2.0
26.png,32.0,13.0,49.0,8.0,62.0,40.0,4.0
27.png,45.0,26.0,46.0,11.0,72.0,56.0,5.0
27.png,45.0,27.0,73.0,8.0,100.0,53.0,6.0
28.png,33.0,13.0,31.0,8.0,44.0,41.0,5.0
28.png,33.0,10.0,42.0,7.0,52.0,40.0,2.0
29.png,18.0,10.0,43.0,14.0,53.0,32.0,1.0
29.png,18.0,16.0,51.0,13.0,67.0,31.0,3.0
29.png,18.0,5.0,66.0,14.0,71.0,32.0,2.0
30.png,25.0,7.0,16.0,1.0,23.0,26.0,1.0
30.png,25.0,11.0,25.0,1.0,36.0,26.0,4.0
31.png,19.0,10.0,14.0,1.0,24.0,20.0,6.0
31.png,19.0,11.0,24.0,1.0,35.0,20.0,3.0
31.png,19.0,11.0,36.0,1.0,47.0,20.0,8.0
32.png,33.0,17.0,48.0,16.0,65.0,49.0,4.0
32.png,33.0,18.0,67.0,19.0,85.0,52.0,3.0
33.png,33.0,16.0,27.0,5.0,43.0,38.0,1.0
33.png,33.0,18.0,42.0,5.0,60.0,38.0,4.0
34.png,32.0,16.0,41.0,13.0,57.0,45.0,4.0
34.png,32.0,24.0,54.0,9.0,78.0,41.0,2.0
35.png,14.0,7.0,25.0,5.0,32.0,19.0,6.0
36.png,47.0,23.0,50.0,9.0,73.0,56.0,4.0
36.png,47.0,24.0,72.0,8.0,96.0,55.0,4.0
37.png,20.0,6.0,24.0,4.0,30.0,24.0,1.0
